ENG_NAME,year,ndvi_crop,rain_gs,drought_class,drought_pixel_rate,cropland_pct,county_id,post_2010,event_time,drought_treated,drought_post,high_agriculture,drought_post_high_agri,ndvi_baseline,high_ndvi,drought_post_high_ndvi,high_elevation,drought_post_high_elev,pop_density_2000,high_density,drought_post_high_density
Liuzhite,2008,0.5652008628423703,1177.8078833624695,,,2.27228048698804,35,0,-2,1,0,0,0,0.5431900812271002,0,0,0,0,334.82142857142856,1,0
Panzhou,2008,0.5449879797979797,1114.0173902147203,,,0.0864725450880446,42,0,-2,0,0,0,0,0.5440188952020202,0,0,1,0,,0,0
Shuicheng,2008,0.5874473188962359,1120.60522722192,,,1.921523088068112,57,0,-2,1,0,0,0,0.5728227529591806,1,0,1,0,195.3125,0,0
Zhongshan,2008,0.5380681649127917,1076.1542736716744,,,3.186154509638887,86,0,-2,1,0,1,0,0.5289898294317594,0,0,1,0,,0,0
Guanlingbuyizumiaozu,2008,0.5487139747708795,1225.2768739849764,,,18.30559404058004,17,0,-2,1,0,1,0,0.5418289418724831,0,0,0,0,218.28103683492495,0,0
Pingba,2008,0.5289976257785591,1076.22153197564,,,23.04381036544468,43,0,-2,1,0,1,0,0.51749653033561,0,0,0,0,,0,0
Puding,2008,0.5280480021683375,1137.7947923187455,,,9.911927761216717,46,0,-2,1,0,1,0,0.5108147690311406,0,0,0,0,368.66359447004606,1,0
Xixiu,2008,0.5402489263435565,1115.6470752658674,,,21.52884621920908,75,0,-2,1,0,1,0,0.525234914722094,0,0,0,0,,0,0
Zhenningbuyizuandmiaozu,2008,0.5496969540401554,1221.966210012867,,,5.147267131763767,83,0,-2,1,0,1,0,0.5408999284938268,0,0,0,0,197.55955839628123,0,0
Ziyunmiaozuandbuyizu,2008,0.5115470017411923,1196.7090631171495,,,1.5019892158423918,87,0,-2,0,0,0,0,0.5123081879161675,0,0,0,0,144.73684210526315,0,0
Dafang,2008,0.6036861018656668,972.0500635276892,,,18.02780994513717,9,0,-2,0,0,1,0,0.5800633145247991,1,0,1,0,271.42857142857144,1,0
Hezhang,2008,0.5753731246923709,929.8008875713784,,,5.124168693188555,20,0,-2,0,0,1,0,0.5611909950923055,1,0,1,0,191.0631741140216,0,0
Jinsha,2008,0.5764200081823095,931.0952359712426,,,1.431018253961164,29,0,-2,0,0,0,0,0.5583334568729623,0,0,0,0,225.4746835443038,1,0
Nayong,2008,0.5964553683283765,1156.2925591007609,,,6.898442444125343,41,0,-2,1,0,1,0,0.5774449727943816,1,0,1,0,298.202614379085,1,0
Qixingguan,2008,0.6115414358347537,868.1037257892336,,,9.75842044134727,50,0,-2,1,0,1,0,0.5875250232843955,1,0,1,0,363.4232121922626,1,0
Qianxi,2008,0.5691201675371798,1042.1439608100125,,,9.388543507179223,47,0,-2,0,0,1,0,0.5534201653145214,0,0,0,0,313.35683509596555,1,0
Weiningyizuhuizumiaozu,2008,0.5475691529187473,859.6930682714199,,,34.22099558416516,66,0,-2,1,0,1,0,0.5344928769891708,0,0,1,0,165.18424396442185,0,0
Zhijin,2008,0.5853775347093041,1112.4901233198957,,,3.332235401204219,85,0,-2,1,0,1,0,0.5783823981431635,1,0,1,0,313.8075313807531,1,0
Guanshanhu,2008,0.5349365390125109,1054.4246114148425,,,0.8585294211551363,18,0,-2,1,0,0,0,0.5158036167351097,0,0,0,0,,0,0
Huaxi,2008,0.5440133294330185,1085.2625696096354,,,12.60055417198841,23,0,-2,1,0,1,0,0.5290395919891179,0,0,0,0,,0,0
Kaiyang,2008,0.5854358687683286,987.443891920672,,,0.3329483995264734,31,0,-2,0,0,0,0,0.5602290902981428,0,0,0,0,207.30503455083908,0,0
Nanming,2008,0.5668979773109092,1052.57774812516,,,2.23661764027848,40,0,-2,1,0,0,0,0.5545337407400402,0,0,0,0,,0,0
Qingzhen,2008,0.521498718604919,1048.1401429512457,,,3.4670192448949595,49,0,-2,1,0,1,0,0.511695280829848,0,0,0,0,335.1206434316354,1,0
