ENG_NAME,year,ndvi_crop,rain_gs,drought_class,drought_pixel_rate,cropland_pct,county_id,post_2010,event_time,drought_treated,drought_post,high_agriculture,drought_post_high_agri,ndvi_baseline,high_ndvi,drought_post_high_ndvi,high_elevation,drought_post_high_elev,pop_density_2000,drought_post_high_density,net_migration,net_migration_per_1000,births,deaths,births_source,deaths_source,high_elev,high_density,urban_core,pop_density,agri_employ_ratio,agri_gdp_ratio,gdp_pc,income_rural,elev_mean,agri_machinery_power,rural_investment,CHN_NAME,high_pop_density,high_agri_employ_ratio,high_agri_gdp_ratio,high_gdp_pc,high_income_rural,high_elev_mean
Liuzhite,2008,0.5652008628423703,1177.8078833624695,,,2.27228048698804,35,0,-2,1,0,0,0,0.5431900812271002,0,0,0,0,334.82142857142856,0,,45.12,7930.0,3050.0,real,real,0,1,False,340.4017857142857,0.5315548095477254,0.1517924528301887,6104.0,2524.0,1419.0692009248362,12.0,88894.0,六枝特区,1,0,0,0,0,1
Panzhou,2008,0.5449879797979797,1114.0173902147203,,,0.0864725450880446,42,0,-2,0,0,0,0,0.5440188952020202,0,0,1,0,193.3871383381025,0,,,,,,,1,0,,,,,,,,,,盘县,0,0,0,0,0,0
Shuicheng,2008,0.5874473188962359,1120.60522722192,,,1.921523088068112,57,0,-2,1,0,0,0,0.5728227529591806,1,0,1,0,195.3125,0,,13.84,10010.0,3850.0,real,real,1,0,False,214.84375,0.656945003538738,0.1487785933859163,6282.0,2539.0,1732.0036831871969,35.3,477707.0,水城县,1,1,0,0,0,1
Zhongshan,2008,0.5380681649127917,1076.1542736716744,,,3.186154509638887,86,0,-2,1,0,1,0,0.5289898294317594,0,0,1,0,193.3871383381025,0,,15.44,7410.0,2850.0,real,real,1,0,True,,,0.0141015790173965,28956.0,3334.0,1945.0111394390124,,596588.0,钟山区,0,0,0,1,0,1
Guanlingbuyizumiaozu,2008,0.5487139747708795,1225.2768739849764,,,18.30559404058004,17,0,-2,1,0,1,0,0.5418289418724831,0,0,0,0,218.2810368349249,0,,-2.8,4550.0,1750.0,real,real,0,0,False,238.7448840381992,0.6811000775542745,0.2890829042608761,4971.0,2430.0,1128.999499255327,13.0,22909.0,关岭布依族苗族自治县,1,1,1,0,0,1
Pingba,2008,0.5289976257785591,1076.22153197564,,,23.04381036544468,43,0,-2,1,0,1,0,0.51749653033561,0,0,0,0,193.3871383381025,0,,,,,,,0,0,,,,,,,,,,平坝县,0,0,0,0,0,0
Puding,2008,0.5280480021683375,1137.7947923187455,,,9.911927761216717,46,0,-2,1,0,1,0,0.5108147690311406,0,0,0,0,368.66359447004606,0,,6.4,5850.0,2250.0,real,real,0,1,False,412.46562786434464,0.6078353659849995,0.2264410122748005,5716.0,2491.0,1352.3743006891175,15.4,34637.0,普定县,1,1,1,0,0,1
Xixiu,2008,0.5402489263435565,1115.6470752658674,,,21.52884621920908,75,0,-2,1,0,1,0,0.525234914722094,0,0,0,0,193.3871383381025,0,,-16.32,10270.0,3950.0,real,real,0,0,True,,,0.1414563482130028,8225.0,3668.0,1340.1493623502522,,228687.0,西秀区,0,0,0,0,0,1
Zhenningbuyizuandmiaozu,2008,0.5496969540401554,1221.966210012867,,,5.147267131763767,83,0,-2,1,0,1,0,0.5408999284938268,0,0,0,0,197.55955839628123,0,,7.04,4810.0,1850.0,real,real,0,0,False,215.36670547147847,0.6932309961881477,0.2080411558621732,5340.0,2478.0,1042.2670052541107,16.2,26822.0,镇宁布依族苗族自治县,1,1,0,0,0,1
Ziyunmiaozuandbuyizu,2008,0.5115470017411923,1196.7090631171495,,,1.5019892158423918,87,0,-2,0,0,0,0,0.5123081879161675,0,0,0,0,144.73684210526315,0,,7.2,4550.0,1750.0,real,real,0,0,False,153.2399299474606,0.6727158681055497,0.5057082166160304,3669.0,2437.0,1155.1451988608687,11.0,23328.0,紫云苗族布依族自治县,0,1,1,0,0,1
