,county_name,pop_2000_wan,area_sqkm,pop_density_2000
50256,普定县,40.0,1085.0,368.66359447004606
50352,七星关区,124.0,3412.0,363.4232121922626
50232,平坝区,34.0,999.0,340.34034034034033
49752,清镇市,50.0,1492.0,335.1206434316354
49800,六枝特区,60.0,1792.0,334.82142857142856
50976,凯里市,43.0,1306.0,329.24961715160794
50448,织金县,90.0,2868.0,313.8075313807531
50400,黔西县,80.0,2553.0,313.35683509596555
50184,仁怀市,56.0,1788.0,313.19910514541385
50472,纳雍县,73.0,2448.0,298.202614379085
49920,播州区,131.0,4690.0,279.317697228145
49848,盘州市,111.0,4056.0,273.6686390532544
50376,大方县,95.0,3500.0,271.42857142857144
50616,玉屏侗族自治县,14.0,516.0,271.3178294573643
49728,修文县,29.0,1071.0,270.7749766573296
50088,湄潭县,46.0,1845.0,249.32249322493226
50808,兴仁市,44.0,1778.0,247.46906636670417
50664,思南县,55.0,2231.0,246.52622142536978
50784,兴义市,71.0,2911.0,243.90243902439025
49704,息烽县,24.0,1037.0,231.43683702989392
50544,碧江区,35.0,1514.0,231.17569352708057
50424,金沙县,57.0,2528.0,225.4746835443038
50880,贞丰县,34.0,1511.0,225.01654533421575
50760,松桃苗族自治县,64.0,2861.0,223.698007689619
50736,沿河土家族自治县,55.0,2469.0,222.7622519238558
49992,正安县,57.0,2595.0,219.65317919075144
50304,关岭布依族苗族自治县,32.0,1466.0,218.28103683492498
51456,瓮安县,43.0,1974.0,217.83181357649443
50712,德江县,45.0,2072.0,217.18146718146718
50688,印江土家族苗族自治县,41.0,1961.0,209.0770015298317
50136,习水县,65.0,3128.0,207.80051150895142
49680,开阳县,42.0,2026.0,207.30503455083908
50064,凤冈县,39.0,1883.0,207.11630377057887
50856,晴隆县,27.0,1331.0,202.854996243426
51360,都匀市,46.0,2274.0,202.2867194371152
51000,黄平县,33.0,1668.0,197.84172661870502
50280,镇宁布依族苗族自治县,34.0,1721.0,197.55955839628123
49944,桐梓县,63.0,3200.0,196.875
50832,普安县,28.0,1429.0,195.94121763470957
49824,水城县,70.0,3584.0,195.3125
51048,三穗县,20.0,1036.0,193.05019305019306
50520,赫章县,62.0,3245.0,191.06317411402156
49968,绥阳县,49.0,2566.0,190.95869056897897
50952,安龙县,41.0,2238.0,183.1992850759607
51384,福泉市,30.0,1688.0,177.72511848341233
50640,石阡县,38.0,2172.0,174.95395948434623
51312,麻江县,21.0,1201.0,174.85428809325563
51120,天柱县,38.0,2201.0,172.64879600181735
50112,余庆县,28.0,1623.0,172.5200246457178
51600,惠水县,41.0,2470.0,165.9919028340081
51432,贵定县,27.0,1630.0,165.64417177914112
50496,威宁彝族回族苗族自治县,104.0,6296.0,165.18424396442185
50160,赤水市,29.0,1801.0,161.02165463631317
51336,丹寨县,15.0,938.0,159.9147121535181
51552,长顺县,24.0,1569.0,152.96367112810708
50016,道真仡佬族苗族自治县,32.0,2156.0,148.4230055658627
50040,务川仡佬族苗族自治县,41.0,2773.0,147.85430941218897
50328,紫云苗族布依族自治县,33.0,2280.0,144.73684210526315
51096,岑巩县,21.0,1487.0,141.22394082044386
51480,独山县,34.0,2445.0,139.05930470347647
51192,台江县,16.0,1206.0,132.66998341625208
51144,锦屏县,21.0,1597.0,131.49655604257984
51576,龙里县,20.0,1521.0,131.49243918474687
51624,三都水族自治县,31.0,2380.0,130.25210084033614
51072,镇远县,24.0,1878.0,127.79552715654953
50592,江口县,22.0,1870.0,117.6470588235294
51288,雷山县,14.0,1219.0,114.84823625922887
51216,黎平县,48.0,4441.0,108.08376491781131
51504,平塘县,29.0,2825.0,102.65486725663717
51528,罗甸县,30.0,3013.0,99.56853634251577
51168,剑河县,20.0,2040.0,98.03921568627452
51024,施秉县,15.0,1544.0,97.15025906735751
51240,榕江县,32.0,3316.0,96.50180940892642
51264,从江县,30.0,3244.0,92.47842170160295
50904,望谟县,27.0,3006.0,89.82035928143712
50928,册亨县,21.0,2598.0,80.83140877598153
51408,荔波县,16.0,2376.0,67.34006734006734
49512,南明区,49.0,,
49536,云岩区,52.0,,
49560,花溪区,31.0,,
49584,乌当区,30.0,,
49608,白云区,16.0,,
49632,小河区,11.0,,
49656,观山湖区,,,
49776,钟山区,41.0,,
49872,红花岗区,62.0,,
49896,汇川区,,,
50208,西秀区,80.0,,
50568,万山区,,,
