县级,ENG_NAME
安龙县,Anlong
碧江区,Bijiang
遵义县,Bozhou
册亨县,Ceheng
岑巩县,Cengong
赤水市,Chishui
从江县,Congjiang
大方县,Dafang
丹寨县,Danzhai
道真仡佬族苗族自治县,Daozhengelaozumiaozu
德江县,Dejiang
都匀市,Duyun
独山县,Dushan
凤冈县,Fenggang
福泉市,Fuquan
关岭布依族苗族自治县,Guanlingbuyizumiaozu
观山湖区,Guanshanhu
贵定县,Guiding
赫章县,Hezhang
花溪区,Huaxi
黄平县,Huangping
汇川区,Huichuan
惠水县,Huishui
剑河县,Jianhe
江口县,Jiangkou
金沙县,Jinsha
锦屏县,Jinping
开阳县,Kaiyang
凯里市,Kaili
雷山县,Leishan
黎平县,Liping
荔波县,Libo
六枝特区,Liuzhite
龙里县,Longli
罗甸县,Luodian
麻江县,Majiang
湄潭县,Meitan
纳雍县,Nayong
南明区,Nanming
盘县,Panzhou
平坝县,Pingba
平塘县,Pingtang
普安县,Puan
普定县,Puding
七星关区,Qixingguan
黔西县,Qianxi
清镇市,Qingzhen
晴隆县,Qinglong
仁怀市,Renhuai
榕江县,Rongjiang
三都水族自治县,Sandushuizu
三穗县,Sansui
施秉县,Shibing
石阡县,Shiqian
水城县,Shuicheng
思南县,Sinan
松桃苗族自治县,Songtaomiaozu
绥阳县,Suiyang
台江县,Taijiang
天柱县,Tianzhu
桐梓县,Tongzi
万山区,Wanshan
望谟县,Wangmo
威宁彝族回族苗族自治县,Weiningyizuhuizumiaozu
瓮安县,Wengan
乌当区,Wudang
务川仡佬族苗族自治县,Wuchuangelaozumiaozu
西秀区,Xixiu
息烽县,Xifeng
习水县,Xishui
兴仁县,Xingren
兴义市,Xingyi
修文县,Xiuwen
沿河土家族自治县,Yanhetujiazu
印江土家族苗族自治县,Yinjiangtujiazuandmiaozu
余庆县,Yuqing
玉屏侗族自治县,Yupingdongzu
云岩区,Yunyan
长顺县,Changshun
贞丰县,Zhenfeng
镇宁布依族苗族自治县,Zhenningbuyizuandmiaozu
镇远县,Zhenyuan
正安县,Zhengan
织金县,Zhijin
钟山区,Zhongshan
紫云苗族布依族自治县,Ziyunmiaozuandbuyizu
白云区,Baiyun
红花岗区,Honghuagang
