county_name,city_name,year,pop_total,pop_agri,treated,post,ndvi_mean,precip,temp,urban_core,pop_density,births,deaths,pop_total_persons,pop_change,natural_growth,net_migration,net_migration_per_1000,births_source,deaths_source
七星关区,毕节市,2008,139.0,0.0,,0,,,,True,3412.0,18070.0,6950.0,1390000.0,,,,,real,real
七星关区,毕节市,2009,142.0,0.0,,0,,,,True,3412.0,18460.0,7100.0,1420000.0,30000.0,11120.0,18880.0,18.88,real,real
七星关区,毕节市,2010,148.0,0.0,,1,,,,True,3411.0,19240.0,7400.0,1480000.0,60000.0,11360.0,48640.0,48.64,real,real
七星关区,毕节市,2011,151.0,0.0,,1,,,,True,3412.0,19630.0,7550.0,1510000.0,30000.0,11840.0,18160.0,18.16,real,real
七星关区,毕节市,2012,153.0,0.0,,1,,,,True,3412.0,19890.0,7650.0,1530000.0,20000.0,12080.0,7920.0,7.92,real,real
万山区,铜仁市,2008,,0.0,,0,,,,True,,,,,,12240.0,,,estimated,estimated
万山区,铜仁市,2009,,0.0,,0,,,,True,,,,,,,,,estimated,estimated
万山区,铜仁市,2010,,0.0,,1,,,,True,,,,,,,,,estimated,estimated
万山区,铜仁市,2011,7.0,0.0,,1,,,,True,340.0,910.0,350.0,70000.0,,,,,real,real
万山区,铜仁市,2012,15.0,0.0,,1,,,,True,840.0,1950.0,750.0,150000.0,80000.0,560.0,79440.0,79.44,real,real
三穗县,黔东南苗族侗族自治州,2008,22.0,19.3,,0,,,,False,1036.0,2860.0,1100.0,220000.0,,1200.0,,,real,real
三穗县,黔东南苗族侗族自治州,2009,22.0,20.0,,0,,,,False,1036.0,2860.0,1100.0,220000.0,0.0,1760.0,-1760.0,-1.76,real,real
三穗县,黔东南苗族侗族自治州,2010,22.0,20.0,,1,,,,False,1030.0,2860.0,1100.0,220000.0,0.0,1760.0,-1760.0,-1.76,real,real
三穗县,黔东南苗族侗族自治州,2011,22.0,19.7,,1,,,,False,1036.0,2860.0,1100.0,220000.0,0.0,1760.0,-1760.0,-1.76,real,real
三穗县,黔东南苗族侗族自治州,2012,22.0,20.0,,1,,,,False,1036.0,2860.0,1100.0,220000.0,0.0,1760.0,-1760.0,-1.76,real,real
