county_name,county_code,urban_core,hukou_pop_2008,resident_pop_2008,,hukou_pop_2009,resident_pop_2009,hukou_pop_2010,resident_pop_2010,hukou_pop_2011,resident_pop_2011,hukou_pop_2012,resident_pop_2012
南明区,520102,TRUE,,,,,,,,,,,
云岩区,520103,TRUE,,,,,,,,,,,
花溪区,520111,TRUE,,,,,,,,,,,
乌当区,520112,TRUE,,,,,,,,,,,
白云区,520113,TRUE,,,,,,,,,,,
观山湖区,520115,TRUE,,,,,,,,,,,
开阳县,520121,FALSE,,,,,,,,,,,
息烽县,520122,FALSE,,,,,,,,,,,
修文县,520123,FALSE,,,,,,,,,,,
清镇市,520181,FALSE,,,,,,,,,,,
钟山区,520201,TRUE,,,,,,,,,,,
六枝特区,520203,FALSE,,,,,,,,,,,
水城区,520204,FALSE,,,,,,,,,,,
盘州市,520281,FALSE,,,,,,,,,,,
红花岗区,520302,TRUE,,,,,,,,,,,
汇川区,520303,TRUE,,,,,,,,,,,
播州区,520304,TRUE,,,,,,,,,,,
桐梓县,520322,FALSE,,,,,,,,,,,
绥阳县,520323,FALSE,,,,,,,,,,,
正安县,520324,FALSE,,,,,,,,,,,
道真仡佬族苗族自治县,520325,FALSE,,,,,,,,,,,
务川仡佬族苗族自治县,520326,FALSE,,,,,,,,,,,
凤冈县,520327,FALSE,,,,,,,,,,,
湄潭县,520328,FALSE,,,,,,,,,,,
余庆县,520329,FALSE,,,,,,,,,,,
习水县,520330,FALSE,,,,,,,,,,,
赤水市,520381,FALSE,,,,,,,,,,,
仁怀市,520382,FALSE,,,,,,,,,,,
西秀区,520402,TRUE,,,,,,,,,,,
平坝区,520403,FALSE,,,,,,,,,,,
普定县,520422,FALSE,,,,,,,,,,,
镇宁布依族苗族自治县,520423,FALSE,,,,,,,,,,,
关岭布依族苗族自治县,520424,FALSE,,,,,,,,,,,
紫云苗族布依族自治县,520425,FALSE,,,,,,,,,,,
七星关区,520502,TRUE,,,,,,,,,,,
大方县,520521,FALSE,,,,,,,,,,,
黔西市,520522,FALSE,,,,,,,,,,,
金沙县,520523,FALSE,,,,,,,,,,,
织金县,520524,FALSE,,,,,,,,,,,
纳雍县,520525,FALSE,,,,,,,,,,,
威宁彝族回族苗族自治县,520526,FALSE,,,,,,,,,,,
赫章县,520527,FALSE,,,,,,,,,,,
碧江区,520602,TRUE,,,,,,,,,,,
万山区,520603,TRUE,,,,,,,,,,,
江口县,520621,FALSE,,,,,,,,,,,
玉屏侗族自治县,520622,FALSE,,,,,,,,,,,
石阡县,520623,FALSE,,,,,,,,,,,
思南县,520624,FALSE,,,,,,,,,,,
印江土家族苗族自治县,520625,FALSE,,,,,,,,,,,
德江县,520626,FALSE,,,,,,,,,,,
沿河土家族自治县,520627,FALSE,,,,,,,,,,,
松桃苗族自治县,520628,FALSE,,,,,,,,,,,
凯里市,522601,TRUE,,,,,,,,,,,
黄平县,522622,FALSE,,,,,,,,,,,
施秉县,522623,FALSE,,,,,,,,,,,
三穗县,522624,FALSE,,,,,,,,,,,
镇远县,522625,FALSE,,,,,,,,,,,
岑巩县,522626,FALSE,,,,,,,,,,,
天柱县,522627,FALSE,,,,,,,,,,,
锦屏县,522628,FALSE,,,,,,,,,,,
剑河县,522629,FALSE,,,,,,,,,,,
台江县,522630,FALSE,,,,,,,,,,,
黎平县,522631,FALSE,,,,,,,,,,,
榕江县,522632,FALSE,,,,,,,,,,,
从江县,522633,FALSE,,,,,,,,,,,
雷山县,522634,FALSE,,,,,,,,,,,
麻江县,522635,FALSE,,,,,,,,,,,
丹寨县,522636,FALSE,,,,,,,,,,,
都匀市,522701,TRUE,,,,,,,,,,,
福泉市,522702,TRUE,,,,,,,,,,,
荔波县,522722,FALSE,,,,,,,,,,,
贵定县,522723,FALSE,,,,,,,,,,,
瓮安县,522725,FALSE,,,,,,,,,,,
独山县,522726,FALSE,,,,,,,,,,,
平塘县,522727,FALSE,,,,,,,,,,,
罗甸县,522728,FALSE,,,,,,,,,,,
长顺县,522729,FALSE,,,,,,,,,,,
龙里县,522730,FALSE,,,,,,,,,,,
惠水县,522731,FALSE,,,,,,,,,,,
三都水族自治县,522732,FALSE,,,,,,,,,,,
兴义市,522301,TRUE,,,,,,,,,,,
兴仁市,522302,FALSE,,,,,,,,,,,
普安县,522323,FALSE,,,,,,,,,,,
晴隆县,522324,FALSE,,,,,,,,,,,
贞丰县,522325,FALSE,,,,,,,,,,,
望谟县,522326,FALSE,,,,,,,,,,,
册亨县,522327,FALSE,,,,,,,,,,,
安龙县,522328,FALSE,,,,,,,,,,,
