行政区划代码,年份,地区名称,经度,纬度,所属省份,所属城市,行政区域土地面积(平方公里),乡及镇个数(个),乡个数(个),镇个数(个),街道办事处个数(个),村民委员会个数(个),年末总户数(户),乡村户数(户),年末总人口(万人),乡村人口(万人),户籍人口数(万人),年末单位从业人员(人),城镇单位在岗职工人数(人),乡村从业人员数(人),农林牧渔业从业人员数(人),年末第二产业单位从业人员(人),年末第三产业单位从业人员(人),农业机械总动力(万千瓦特),固定电话用户(户),移动电话用户数(户),宽带接入用户数(户),地区生产总值(万元),第一产业增加值(万元),第二产业增加值(万元),工业增加值(万元),第三产业增加值(万元),农业增加值(万元),牧业增加值(万元),人均地区生产总值(元/人),城镇单位在岗职工平均工资(元),城镇居民人均可支配收入(元),农村居民人均可支配收入(元),地方财政一般预算收入(万元),各项税收(万元),地方财政一般预算支出(万元),城乡居民储蓄存款余额(万元),年末金融机构各项贷款余额(万元),出口额(美元),实际利用外资金额(美元),农作物总播种面积(千公顷),常用耕地面积(公顷),机收面积(公顷),设施农业占地面积(公顷),农用机械总动力(千万瓦),粮食总产量(吨),棉花产量(吨),油料产量(吨),肉类总产量(吨),农林牧渔业总产值(万元),规模以上工业企业数(个),规模以上工业总产值(万元),城镇固定资产投资完成额(万元),全社会固定资产投资(万元),社会消费品零售总额(万元),房地产开发投资(亿元),普通小学学校数(个),普通中学学校数(个),普通小学专任教师数(人),普通中学专任教师数(人),普通小学在校生数(人),普通中学在校学生数(人),中等职业教育学校在校学生数(人),医院、卫生院床位数(床),医院和卫生院卫生人员数_卫生技术人员(人),医院和卫生院卫生人员数_执业医师(人),各种社会福利收养性单位数(个),各种社会福利收养性单位床位数(床),全社会用电量(万千瓦时),城乡居民生活用电量(万千瓦时),废气中氮氧化物排放量(吨),废气中烟尘排放量(吨),工业废气中二氧化硫排放量(吨),艺术表演场馆数_剧场、影剧院(个),公共图书馆总藏量(千册),体育场馆机构数(个)
520102,2000,南明区,106.714374,26.567944,贵州省,贵阳市,,,,,,,,,49,,48.66,,,16500,,,,,,,,487869,4479,245596,,237794,,,10153,,6275,3156,16500,,15500,,,,,,270,,,,,,,2745,6500,,,20281,,288500,,38,,1605,,25793,,,,,,,,,,,,,,,
520102,2001,南明区,106.714374,26.567944,贵州省,贵阳市,,,,,,,,,49,,49.2,,,17400,,,,,,,,565875,4640,281174,,280061,,,11565,,,3378,23500,,22500,,,,,,250,,,,,,,2943,6600,,,59259,,326000,3,35,,1873,,24851,,,,,,,,,,,,,,,
520102,2002,南明区,106.714374,26.567944,贵州省,贵阳市,,,,,,,,,50,,50.07,,,17700,,,,,,,,642863,4863,312722,,325278,,,12951,,,3621,26100,,31800,,,,,,210,,,,,,,3260,7000,,,195935,,369300,16,41,,1562,,26151,,,,,,,,,,,,,,,
520102,2003,南明区,106.714374,26.567944,贵州省,贵阳市,,,,,,,,,50,,50.33,,,18000,,,,,,,,731626,5068,353951,,372607,,,14574,,,3878,33300,,37000,,,,,,210,,,,,,,3417,7300,,,236764,,474600,18,41,,1876,,37110,,,,,,,,,,,,,,,
520102,2004,南明区,106.714374,26.567944,贵州省,贵阳市,,,,,,,,,51,,50.59,,,18200,,,,,,,,824819,5342,403974,,415503,,,16345,,,4276,42200,,47200,,,,,,210,,,,,,,3491,8300,,,281514,,552900,20,107,,2639,,53514,,,,,,,,,,,,,,,
520102,2005,南明区,106.714374,26.567944,贵州省,贵阳市,,,,,,,,,72,,50.95,,,19200,,,,,,,,965077,4550,298641,,661886,,,19009,,9765,4653,52500,,57700,,,,,,210,,,,,,,2932,7000,,,547186,,645300,27,87,53,2605,,61921,,,,,,,,,,,,,,,
520102,2006,南明区,106.714374,26.567944,贵州省,贵阳市,,,,,,,,,74,,51.29,,,19300,,,,,,,,1145965,4430,381622,,759913,,,22417,,11086,5061,62200,,72300,,,,,,210,,,,,,,2996,6900,,,680000,,736800,24,86,50,2543,,64825,,,,,,,,,,,,,,,
520102,2007,南明区,106.714374,26.567944,贵州省,贵阳市,,,,,,,,,74,,50.58,,,17700,,,,,,,,1380174,4217,451220,,924737,,,27097,,12666,5748,78800,,89200,,,,,,210,,,,10,,,1298,6400,,,718500,,880300,28,85,49,2584,,70004,,,,,,,,,,,,,,,
520102,2008,南明区,106.714374,26.567944,贵州省,贵阳市,,,,,,,,,76,,,,,17500,,,,,,,,1605254,5006,512728,,1087520,,,22476,,13817,6603,94200,,105100,,,,,,270,,,,,,,1323,4500,,,556764,,1131700,32,83,51,2629,,66348,,,,,,,,,,,,,,,
520102,2009,南明区,106.714374,26.567944,贵州省,贵阳市,,,,,,,,,81,,,,,36800,,,,,,,,1945239,15280,481884,,1448075,,,26801,,15041,6713,107100,,142700,,,,,,1740,,,,1752,,,3218,21900,,,755561,,1371000,27,89,61,2757,,68035,,,,,,,,,,,,,,,
520102,2010,南明区,106.714374,26.567944,贵州省,贵阳市,,,,,,,,,83,,,,,37400,,,,,,,,2267007,16240,468225,287600,1782542,,,27670,,16597,7531,127900,,166800,,,,,,1650,,,,5096,,,3119,25300,,,966131,,1596100,77,83,64,2840,,66504,,,,,,,,,,,,,,,
520102,2011,南明区,106.714374,26.567944,贵州省,贵阳市,,,,,,,,,84,,56.17,,,38500,,,,,,,,3016973,18167,608483,364800,2390323,,,36015,,19420,9031,186100,,207600,,,,,,1550,,,,4140,,,3082,28600,,,1476787,,1924900,,82,67,2810,,65678,,,,,,,,,,,,,,,
520102,2012,南明区,106.714374,26.567944,贵州省,贵阳市,,,,,,,,,85,,55.36,,,37900,,,,,,,,3755000,20900,848500,438600,2885600,,,44301,,,10259,267300,,303800,,,,,,,,,,4471,,,3270,32900,,,3014515,3014500,2276700,,82,72,2782,,59643,,,,,,,,,,,,,,,
520102,2013,南明区,106.714374,26.567944,贵州省,贵阳市,,,,,,,,,86,,56.02,,,41500,,,,,,,,4400700,22900,1095000,523600,3282800,,,51362,,23904,11415,335400,,375700,,,,,,,,,,2632,,,2822,36200,,,3761574,3761600,2632600,,81,68,2649,,55797,,,,,,,,,,,,,,,
520102,2014,南明区,106.714374,26.567944,贵州省,贵阳市,,,,,,,,,87,,56.56,,,39600,,,,,,,,5285100,33300,1173700,458100,4078100,,,60970,,25796,12722,398300,,434100,,,,,,,,,,2640,,,2857,52100,,,4337026,4337000,3027500,,82,67,2688,,56113,,,,,,,,,,,,,,,
520102,2015,南明区,106.714374,26.567944,贵州省,贵阳市,,,,,,,,,88,,57.86,,,39900,,,,,,,,6060500,36600,1298800,408100,4725100,,,69246,,28061,13896,435700,,507900,,,,,,,,,,,,,2805,36600,,,3860847,,3366500,,84,68,3030,,57408,,,,,,,,,,,,,,,
520102,2016,南明区,106.714374,26.567944,贵州省,贵阳市,,,,,,,,,90,,60.71,,,25300,,,,,,,,6540105,20300,1482900,444400,5037000,,,73646,,30207,15008,406200,,477500,,,,,,,,,,,,,767,20400,,,4482443,,3442000,,85,69,3145,,58825,,,,,,,,,,,,,,,
520102,2017,南明区,106.714374,26.567944,贵州省,贵阳市,,,,,,,,,92,,62.62,,,25900,,,,,,,,7316700,18800,1732000,534000,5566000,,,80605,,32895,16434,394700,,534000,,,,,,,,,,,,,,18900,,,,,3846700,,77,65,3294,,60535,,,,,,,,,,,,,,,
520102,2018,南明区,106.714374,26.567944,贵州省,贵阳市,,,,,,,,,92,,64.4,,,26266,,,,,,,,8003645,16150,1897516,571357,6089979,,,86857,,35740,,415798,,616521,,,,,,,,,,,,,,16200,,,,,,,75,67,3467,,63093,,,,,,,,,,,,,,,
520102,2019,南明区,106.714374,26.567944,贵州省,贵阳市,,,,,,,,,93,,65.68,,,28100,,,,,,,,8375900,10800,2848100,777400,5517000,,,90507,,38921,,403300,,732500,,,,,,,,,,,,,,11500,,,,,,,75,67,3577,,64837,,,,,,,,,,,,,,,
520102,2020,南明区,106.714374,26.567944,贵州省,贵阳市,,,,,,,,,105,,66.64,,,46200,,,,,,,,8922500,11200,3088800,843337,5822500,,,85493,,40906,,380900,,734600,,,,,,,,,,,,,,12044,,,,,,,77,69,3739,,65617,,,,,,,,,,,,,,,
520102,2021,南明区,106.714374,26.567944,贵州省,贵阳市,,,,,,,,,107,,66.6,,,46659,,,,,,,,9776500,12400,3247500,891900,6516600,,,92384,,44616,,408000,,726000,,,,,,,,,,,,,,13000,,,,,,,76,66,3798,,,,,,,,,,,,,,,,,
520102,2022,南明区,106.714374,26.567944,贵州省,贵阳市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520103,2000,云岩区,106.724426,26.604594,贵州省,贵阳市,,,,,,,,,52,,52.46,,,13500,,,,,,,,797500,3868,447395,,346237,,,15392,,6487,3149,18200,,19800,,,,,,370,,,,,,,1432,6100,,,26207,,594500,1,44,1,1906,,32626,,,,,,,,,,,,,,,
520103,2001,云岩区,106.724426,26.604594,贵州省,贵阳市,,,,,,,,,53,,53.07,,,13100,,,,,,,,904177,4035,490586,,409556,,,17136,,,3402,24300,,26600,,,,,,330,,,,,,,1627,6400,,,133467,,582300,9,44,1,1906,,31558,,,,,,,,,,,,,,,
520103,2002,云岩区,106.724426,26.604594,贵州省,贵阳市,,,,,,,,,55,,54.68,,,12900,,,,,,,,998941,4118,535083,,459740,,,18540,,,3632,27400,,34100,,,,,,260,,,,,,,1675,6300,,,234474,,641100,17,42,1,1852,,29755,,,,,,,,,,,,,,,
